order_id,order_date,region,customer_segment,category,fulfillment_mode,units_sold,unit_price,discount,sales,profit,inventory_on_hand,reorder_point,stockout_flag,processing_hours
41,2025-06-27,Ontario,Consumer,Electronics,Same Day,6,224.51,0,1347.06,172.09,170,44,0,5.8
42,2025-11-03,Quebec,Consumer,Home,Same Day,2,73.62,0.05,139.88,33.3,84,55,0,5.5
43,2025-05-06,Quebec,Consumer,Electronics,Express,3,182.28,0.05,519.5,66.47,167,32,0,6.3
44,2025-09-16,Atlantic,Consumer,Office Supplies,Express,3,40.29,0.05,114.83,22.48,76,39,0,4.5
45,2025-02-13,BC,Consumer,Health & Beauty,Same Day,2,15.0,0.1,27.0,6.28,126,29,0,6.6
46,2025-11-13,Ontario,Consumer,Seasonal,Express,5,27.81,0.1,125.14,11.85,207,52,0,3.2
47,2025-09-26,BC,Corporate,Office Supplies,Standard,5,15.94,0.2,63.76,5.24,182,34,0,2.2
48,2025-01-16,Ontario,Corporate,Electronics,Pickup,3,202.77,0.2,486.65,-15.73,4,54,0,5.7
49,2025-05-16,Prairies,Consumer,Electronics,Same Day,3,105.51,0.1,284.88,28.76,190,50,0,6.8
50,2025-02-08,Quebec,Consumer,Office Supplies,Standard,3,26.77,0.15,68.26,8.46,216,44,0,3.7
51,2025-09-03,Quebec,Consumer,Seasonal,Express,1,36.48,0,36.48,6.96,166,39,0,4.4
52,2025-01-07,Atlantic,Small Business,Apparel,Same Day,3,68.35,0.15,174.29,34.75,181,53,0,7.8
53,2025-08-26,Prairies,Consumer,Apparel,Pickup,6,44.16,0,264.96,106.77,4,38,1,7.4
54,2025-05-18,Ontario,Consumer,Apparel,Standard,4,48.1,0.15,163.54,15.09,33,52,1,7.3
55,2025-12-27,Ontario,Small Business,Grocery,Pickup,5,16.67,0,83.35,19.42,174,48,0,9.6
56,2025-06-04,Ontario,Small Business,Seasonal,Standard,3,68.94,0.2,165.46,7.06,86,45,0,7.0
57,2025-04-11,Atlantic,Corporate,Seasonal,Same Day,3,73.0,0.05,208.05,24.49,19,43,0,8.1
58,2025-01-25,Atlantic,Consumer,Grocery,Express,4,16.56,0,66.24,11.93,130,40,0,7.1
59,2025-07-11,Prairies,Consumer,Office Supplies,Express,5,19.0,0.1,85.5,11.05,12,46,1,7.0
60,2025-11-26,Quebec,Small Business,Office Supplies,Same Day,8,43.48,0,347.84,100.8,72,39,0,7.3
61,2025-12-01,Prairies,Corporate,Grocery,Express,4,30.82,0.15,104.79,4.29,41,24,0,6.2
62,2025-09-14,Prairies,Corporate,Office Supplies,Standard,4,61.18,0.2,195.78,17.45,49,35,0,5.8
63,2025-03-31,BC,Consumer,Grocery,Pickup,3,28.69,0.2,68.86,-3.84,191,46,0,3.7
64,2025-07-31,BC,Consumer,Seasonal,Express,2,67.22,0,134.44,22.55,92,28,0,5.5
65,2025-02-17,Ontario,Small Business,Grocery,Pickup,2,26.93,0,53.86,12.24,5,28,1,4.7
66,2025-10-28,Atlantic,Consumer,Apparel,Standard,1,67.69,0.2,54.15,5.73,114,35,0,5.1
67,2025-04-25,Ontario,Corporate,Home,Standard,4,67.93,0.2,217.38,15.17,195,49,0,2.7
68,2025-10-10,Atlantic,Consumer,Office Supplies,Pickup,4,26.27,0,105.08,26.19,32,36,1,6.7
69,2025-12-24,Atlantic,Consumer,Office Supplies,Standard,6,41.39,0.1,223.51,44.96,202,20,0,7.0
70,2025-10-03,Prairies,Small Business,Grocery,Pickup,6,19.17,0,115.02,17.38,63,21,0,5.7
71,2025-12-27,Quebec,Consumer,Seasonal,Same Day,6,58.09,0.15,296.26,26.69,58,47,0,4.8
72,2025-04-27,Atlantic,Corporate,Apparel,Standard,2,59.0,0.15,100.3,18.69,74,52,0,5.6
73,2025-04-16,Ontario,Small Business,Apparel,Pickup,4,34.71,0.05,131.9,37.2,75,26,0,8.8
74,2025-11-09,Ontario,Small Business,Home,Express,1,88.05,0.1,79.25,14.6,54,21,0,7.1
75,2025-08-01,Atlantic,Consumer,Electronics,Express,1,263.65,0,263.65,32.95,42,41,0,0.5
76,2025-04-05,BC,Corporate,Seasonal,Express,2,58.36,0.15,99.21,7.14,84,48,0,6.8
77,2025-02-25,Atlantic,Small Business,Electronics,Same Day,5,211.96,0,1059.8,82.09,97,42,0,4.2
78,2025-08-10,Atlantic,Corporate,Electronics,Pickup,2,190.1,0.05,361.19,40.94,121,21,0,7.3
79,2025-05-07,Prairies,Consumer,Office Supplies,Same Day,2,44.64,0.2,71.42,9.79,191,24,0,4.8
80,2025-07-05,Quebec,Corporate,Grocery,Express,7,25.45,0.15,151.43,7.11,0,24,1,9.5
81,2025-02-24,Prairies,Small Business,Apparel,Same Day,5,11.23,0.2,44.92,2.62,46,20,0,5.7
82,2025-12-21,Ontario,Corporate,Office Supplies,Express,4,59.25,0.05,225.15,41.62,20,52,1,10.7
83,2025-05-07,Atlantic,Corporate,Apparel,Same Day,6,49.22,0,295.32,98.18,26,24,0,7.3
84,2025-11-16,Ontario,Consumer,Electronics,Standard,1,269.54,0.05,256.06,28.14,117,35,0,6.4
85,2025-05-31,Quebec,Corporate,Grocery,Express,3,27.86,0,83.58,15.84,62,35,0,6.9
86,2025-05-25,Ontario,Small Business,Health & Beauty,Pickup,5,30.96,0,154.8,48.14,206,26,0,5.4
87,2025-01-19,Atlantic,Small Business,Electronics,Standard,5,149.33,0.05,709.32,77.93,75,34,0,5.2
88,2025-01-26,BC,Corporate,Home,Standard,4,79.09,0.1,284.72,53.85,66,20,0,3.9
89,2025-11-23,BC,Small Business,Health & Beauty,Same Day,4,37.21,0,148.84,74.87,9,33,0,7.8
90,2025-07-29,Quebec,Consumer,Seasonal,Pickup,3,49.66,0,148.98,34.88,16,46,1,5.6
91,2025-12-06,Ontario,Corporate,Health & Beauty,Pickup,1,24.98,0.05,23.73,6.79,72,39,0,3.6
92,2025-01-27,BC,Small Business,Grocery,Pickup,3,22.76,0.2,54.62,3.17,50,45,0,5.5
93,2025-04-15,Prairies,Consumer,Electronics,Express,1,233.81,0.05,222.12,14.74,197,30,0,4.6
94,2025-01-08,BC,Consumer,Electronics,Express,1,73.16,0,73.16,4.23,188,52,0,3.5
95,2025-03-16,Quebec,Consumer,Grocery,Same Day,1,19.67,0,19.67,2.56,202,32,0,7.7
96,2025-03-06,Atlantic,Small Business,Office Supplies,Express,2,50.4,0.15,85.68,7.2,158,30,0,8.3
97,2025-11-14,BC,Consumer,Apparel,Express,4,36.2,0,144.8,58.1,40,44,1,9.2
98,2025-05-07,Ontario,Consumer,Seasonal,Same Day,6,30.33,0.15,154.68,26.94,30,44,0,6.4
99,2025-11-29,Quebec,Corporate,Apparel,Pickup,4,60.64,0,242.56,65.35,5,20,0,6.2
100,2025-08-27,Prairies,Corporate,Home,Same Day,4,43.35,0,173.4,44.22,17,28,1,6.1
101,2025-02-16,Prairies,Corporate,Office Supplies,Standard,3,34.77,0.15,88.66,18.77,80,52,0,8.8
102,2025-01-28,BC,Small Business,Office Supplies,Express,1,17.43,0,17.43,6.15,187,27,0,0.5
103,2025-03-09,Quebec,Consumer,Apparel,Express,2,21.83,0,43.66,15.02,193,36,0,6.2
104,2025-06-15,Quebec,Small Business,Health & Beauty,Same Day,5,37.08,0.05,176.13,54.26,129,35,0,7.0
105,2025-07-10,Ontario,Consumer,Electronics,Standard,1,231.1,0,231.1,23.95,43,36,0,1.7
106,2025-09-29,Quebec,Small Business,Electronics,Same Day,1,151.8,0,151.8,21.16,219,45,0,8.0
107,2025-05-16,Quebec,Corporate,Apparel,Same Day,5,56.22,0,281.1,80.58,190,23,0,5.9
108,2025-09-22,Quebec,Corporate,Grocery,Express,7,18.7,0.15,111.27,12.41,191,22,0,3.5
109,2025-03-18,BC,Corporate,Grocery,Standard,1,25.81,0,25.81,5.15,167,22,0,6.6
110,2025-01-28,BC,Small Business,Electronics,Express,3,252.34,0.1,681.32,46.69,150,28,0,8.1
111,2025-07-07,Prairies,Consumer,Health & Beauty,Same Day,7,45.24,0,316.68,104.01,16,29,0,3.4
112,2025-07-25,Quebec,Consumer,Office Supplies,Pickup,7,42.85,0,299.95,67.93,154,53,0,4.0
113,2025-05-08,Atlantic,Consumer,Home,Standard,4,72.09,0,288.36,69.52,199,26,0,6.2
114,2025-11-10,Ontario,Consumer,Health & Beauty,Same Day,1,34.15,0.15,29.03,4.72,208,31,0,5.4
115,2025-02-02,Atlantic,Corporate,Grocery,Pickup,4,10.05,0,40.2,6.02,119,25,0,7.0
116,2025-03-31,Atlantic,Small Business,Home,Standard,4,76.85,0,307.4,95.49,216,36,0,2.6
117,2025-05-17,BC,Corporate,Seasonal,Standard,1,68.27,0.1,61.44,10.63,55,25,0,5.2
118,2025-03-28,Ontario,Corporate,Grocery,Pickup,4,26.34,0,105.36,20.46,153,35,0,7.4
119,2025-11-19,BC,Small Business,Seasonal,Same Day,1,59.12,0,59.12,14.59,185,34,0,3.8
120,2025-04-19,BC,Corporate,Apparel,Same Day,7,61.26,0,428.82,141.11,159,30,0,5.7
121,2025-03-14,Atlantic,Consumer,Seasonal,Same Day,6,62.65,0.15,319.51,36.57,11,24,0,5.7
122,2025-04-13,BC,Corporate,Office Supplies,Standard,7,44.92,0.15,267.27,44.87,52,33,0,5.2
123,2025-01-18,Atlantic,Corporate,Electronics,Same Day,2,127.01,0,254.02,49.53,52,38,0,7.4
124,2025-06-22,Quebec,Consumer,Apparel,Pickup,1,74.27,0,74.27,22.42,82,52,0,3.6
125,2025-05-28,Atlantic,Small Business,Health & Beauty,Standard,6,30.31,0,181.86,55.34,137,33,0,8.1
126,2025-10-22,Quebec,Consumer,Office Supplies,Pickup,1,40.83,0,40.83,11.37,1,42,1,2.5
127,2025-12-22,Ontario,Small Business,Office Supplies,Express,1,18.11,0.1,16.3,2.99,72,33,0,10.3
128,2025-09-13,Atlantic,Corporate,Home,Standard,4,41.71,0.15,141.81,14.55,83,42,0,5.1
129,2025-07-25,Atlantic,Small Business,Apparel,Express,4,42.71,0,170.84,50.59,139,52,0,7.5
130,2025-07-14,Ontario,Small Business,Seasonal,Express,5,73.49,0.15,312.33,31.57,89,40,0,2.6
131,2025-08-19,BC,Corporate,Seasonal,Express,3,74.23,0.15,189.29,20.39,32,41,1,5.4
132,2025-09-17,Quebec,Small Business,Home,Same Day,4,24.16,0.1,86.98,15.06,63,40,0,6.5
133,2025-03-24,Quebec,Consumer,Home,Express,3,130.92,0,392.76,106.03,50,44,0,8.0
134,2025-03-17,Quebec,Corporate,Office Supplies,Pickup,3,44.37,0,133.11,34.3,52,44,0,4.8
135,2025-01-18,Prairies,Small Business,Electronics,Standard,3,110.41,0.15,281.55,4.95,65,45,0,5.9
136,2025-05-05,Prairies,Corporate,Office Supplies,Express,1,25.87,0.05,24.58,6.48,167,34,0,3.1
137,2025-11-25,Prairies,Small Business,Electronics,Same Day,2,261.77,0,523.54,85.61,102,30,0,4.6
138,2025-08-05,Prairies,Consumer,Apparel,Standard,2,33.82,0.15,57.49,8.45,167,40,0,2.1
139,2025-07-19,Prairies,Consumer,Office Supplies,Pickup,6,38.64,0,231.84,57.79,51,53,1,3.2
140,2025-10-05,Prairies,Corporate,Home,Express,7,74.39,0,520.73,103.76,116,33,0,5.2
141,2025-07-20,Atlantic,Corporate,Health & Beauty,Pickup,5,27.11,0,135.55,46.0,15,20,1,10.0
142,2025-11-18,Quebec,Corporate,Seasonal,Pickup,3,68.66,0.15,175.08,3.44,56,45,0,8.4
143,2025-04-19,Ontario,Consumer,Home,Same Day,5,37.66,0.05,178.88,28.61,208,29,0,3.0
144,2025-12-08,Prairies,Small Business,Seasonal,Same Day,7,54.21,0.15,322.55,49.52,90,34,0,8.2
145,2025-12-27,Quebec,Small Business,Apparel,Same Day,3,28.72,0.2,68.93,9.94,62,39,0,3.9
146,2025-09-03,Prairies,Corporate,Apparel,Standard,2,27.44,0,54.88,18.08,98,23,0,6.9
147,2025-10-17,Ontario,Corporate,Grocery,Standard,5,12.49,0,62.45,10.3,18,38,1,6.9
148,2025-10-24,Ontario,Consumer,Home,Standard,4,47.71,0,190.84,47.8,136,30,0,7.5
149,2025-12-09,Quebec,Consumer,Health & Beauty,Pickup,2,28.24,0,56.48,19.08,29,55,1,5.9
150,2025-04-30,Ontario,Small Business,Office Supplies,Express,3,35.18,0.05,100.26,28.22,63,51,0,3.8
151,2025-10-04,Atlantic,Consumer,Health & Beauty,Pickup,5,18.73,0.1,84.29,19.09,119,43,0,5.5
152,2025-08-03,Atlantic,Consumer,Seasonal,Standard,2,34.24,0,68.48,15.9,188,41,0,5.6
153,2025-09-19,Prairies,Consumer,Apparel,Same Day,7,50.3,0.15,299.28,60.59,168,43,0,6.1
154,2025-08-31,BC,Corporate,Office Supplies,Pickup,4,26.64,0.05,101.23,21.6,13,38,1,9.3
155,2025-07-26,BC,Small Business,Grocery,Same Day,5,16.93,0,84.65,11.85,84,32,0,2.6
156,2025-06-03,BC,Corporate,Home,Pickup,9,113.08,0.05,966.83,179.61,139,23,0,1.4
157,2025-06-03,Atlantic,Consumer,Electronics,Pickup,5,312.1,0.1,1404.45,86.25,128,54,0,4.8
158,2025-11-12,BC,Corporate,Home,Pickup,4,73.46,0.15,249.76,13.62,25,31,0,6.4
159,2025-02-21,Atlantic,Small Business,Seasonal,Pickup,4,47.42,0,189.68,36.31,77,31,0,4.9
160,2025-01-18,Atlantic,Small Business,Grocery,Pickup,1,17.9,0,17.9,2.35,211,27,0,5.5
161,2025-10-22,Prairies,Small Business,Seasonal,Standard,6,66.91,0.1,361.31,22.06,39,50,0,2.9
162,2025-02-12,Prairies,Consumer,Seasonal,Express,6,38.54,0.05,219.68,52.87,31,25,0,5.6
163,2025-03-04,Prairies,Consumer,Home,Express,3,101.38,0.05,288.93,57.02,12,43,0,4.2
164,2025-02-13,BC,Corporate,Grocery,Standard,1,22.14,0,22.14,4.23,8,20,1,7.7
165,2025-07-19,Quebec,Corporate,Grocery,Pickup,1,10.6,0.2,8.48,0.05,94,48,0,5.6
166,2025-12-13,Ontario,Consumer,Home,Same Day,2,96.7,0.15,164.39,22.12,199,48,0,3.3
167,2025-10-18,Quebec,Small Business,Grocery,Express,9,29.73,0.15,227.43,17.59,155,20,0,2.9
168,2025-11-04,Quebec,Corporate,Office Supplies,Pickup,1,46.13,0.05,43.82,8.78,197,34,0,6.8
169,2025-05-26,Atlantic,Small Business,Seasonal,Same Day,3,75.1,0.1,202.77,40.48,200,22,0,3.9
170,2025-03-14,BC,Consumer,Office Supplies,Standard,3,58.64,0.2,140.74,6.17,127,42,0,4.5
171,2025-10-04,Prairies,Small Business,Health & Beauty,Express,5,43.54,0,217.7,72.92,101,49,0,6.1
172,2025-05-11,Atlantic,Small Business,Health & Beauty,Same Day,3,29.05,0.2,69.72,11.93,101,53,0,6.1
173,2025-09-25,Prairies,Corporate,Grocery,Same Day,2,19.35,0,38.7,9.31,74,43,0,7.5
174,2025-07-26,BC,Consumer,Office Supplies,Standard,4,62.71,0.05,238.3,51.64,161,49,0,6.2
175,2025-03-21,BC,Consumer,Grocery,Express,2,29.71,0,59.42,12.03,144,51,0,6.3
176,2025-05-14,Quebec,Small Business,Office Supplies,Same Day,5,42.64,0.1,191.88,44.73,65,22,0,0.8
177,2025-04-13,Prairies,Consumer,Home,Pickup,4,71.12,0,284.48,76.94,216,24,0,3.9
178,2025-03-03,Atlantic,Small Business,Seasonal,Pickup,3,67.74,0,203.22,56.36,100,31,0,4.7
179,2025-03-23,Ontario,Corporate,Grocery,Standard,4,24.13,0,96.52,18.63,141,21,0,5.2
180,2025-05-13,BC,Corporate,Office Supplies,Express,3,14.3,0.05,40.76,10.23,193,20,0,5.9
181,2025-12-13,Quebec,Corporate,Seasonal,Same Day,1,37.38,0,37.38,6.81,99,27,0,5.9
182,2025-09-04,Ontario,Small Business,Apparel,Express,4,53.73,0.15,182.68,41.1,49,22,0,4.1
183,2025-04-23,BC,Small Business,Electronics,Standard,4,157.75,0.05,599.45,112.76,98,21,0,4.3
184,2025-08-20,Quebec,Consumer,Grocery,Express,1,23.52,0,23.52,3.48,46,48,0,8.3
185,2025-08-13,Ontario,Small Business,Office Supplies,Same Day,2,39.53,0,79.06,20.55,85,30,0,9.3
186,2025-09-09,Quebec,Small Business,Electronics,Pickup,4,162.27,0.1,584.17,81.53,171,33,0,7.0
187,2025-05-27,Quebec,Consumer,Electronics,Express,6,167.73,0,1006.38,232.53,24,44,1,7.9
188,2025-01-30,Quebec,Consumer,Office Supplies,Same Day,4,34.71,0.2,111.07,6.91,113,20,0,5.4
189,2025-04-06,Prairies,Consumer,Grocery,Express,5,19.16,0.1,86.22,11.42,133,34,0,9.0
190,2025-04-11,Atlantic,Consumer,Health & Beauty,Same Day,6,17.83,0.2,85.58,15.06,156,32,0,6.8
191,2025-04-14,Atlantic,Corporate,Electronics,Same Day,3,115.86,0.15,295.44,18.26,88,41,0,4.3
192,2025-11-24,Prairies,Consumer,Office Supplies,Same Day,8,37.61,0.05,285.84,77.07,63,31,0,7.7
193,2025-01-19,Quebec,Corporate,Home,Express,3,68.67,0.1,185.41,47.44,18,27,1,5.8
194,2025-06-14,Prairies,Corporate,Office Supplies,Standard,4,30.65,0.2,98.08,15.75,114,52,0,7.5
195,2025-09-29,BC,Consumer,Office Supplies,Standard,9,39.16,0,352.44,88.89,79,36,0,4.7
196,2025-01-10,Ontario,Small Business,Electronics,Same Day,6,189.45,0.1,1023.03,31.96,113,26,0,5.8
197,2025-02-18,Ontario,Consumer,Seasonal,Pickup,3,76.3,0.1,206.01,22.17,31,27,0,5.5
198,2025-03-12,BC,Consumer,Health & Beauty,Pickup,4,23.76,0.1,85.54,18.9,211,21,0,6.0
199,2025-12-22,BC,Corporate,Apparel,Pickup,2,42.47,0,84.94,26.85,61,41,0,3.7
200,2025-10-16,Quebec,Small Business,Office Supplies,Pickup,4,31.68,0.1,114.05,25.84,90,35,0,7.9
201,2025-12-06,Atlantic,Small Business,Seasonal,Pickup,4,62.85,0,251.4,44.43,5,34,1,9.0
202,2025-08-21,Atlantic,Consumer,Seasonal,Standard,6,60.91,0,365.46,98.18,160,54,0,4.1
203,2025-11-15,Quebec,Consumer,Electronics,Standard,1,171.45,0,171.45,22.64,165,30,0,7.2
204,2025-01-31,BC,Small Business,Health & Beauty,Same Day,6,34.63,0,207.78,61.39,75,46,0,6.4
205,2025-05-21,Atlantic,Corporate,Home,Same Day,1,56.55,0.1,50.89,7.65,98,32,0,4.2
206,2025-08-24,Quebec,Corporate,Health & Beauty,Pickup,1,30.51,0,30.51,10.42,131,54,0,6.9
207,2025-10-27,Atlantic,Small Business,Apparel,Same Day,6,78.08,0,468.48,124.8,72,33,0,4.7
208,2025-01-30,Atlantic,Consumer,Office Supplies,Same Day,1,29.72,0,29.72,7.63,99,48,0,5.8
209,2025-02-25,Ontario,Corporate,Health & Beauty,Standard,3,22.34,0,67.02,22.06,51,37,0,4.5
210,2025-09-01,Ontario,Small Business,Grocery,Pickup,4,21.48,0.2,68.74,0.07,101,29,0,5.2
211,2025-05-24,BC,Corporate,Office Supplies,Pickup,6,50.37,0.15,256.89,22.64,74,42,0,6.3
212,2025-09-27,BC,Small Business,Health & Beauty,Express,3,27.08,0.15,69.05,17.09,113,39,0,3.6
213,2025-10-02,Ontario,Small Business,Grocery,Same Day,1,17.36,0,17.36,3.4,215,35,0,3.9
214,2025-04-15,Atlantic,Consumer,Apparel,Pickup,6,50.97,0.05,290.53,74.01,79,54,0,7.9
215,2025-09-22,BC,Corporate,Office Supplies,Standard,3,23.82,0,71.46,23.45,115,20,0,6.3
216,2025-09-26,Atlantic,Small Business,Home,Pickup,2,87.6,0.1,157.68,28.52,48,46,0,5.0
217,2025-07-25,BC,Corporate,Apparel,Same Day,2,61.13,0.2,97.81,17.78,93,24,0,6.5
218,2025-09-20,Atlantic,Corporate,Home,Same Day,6,46.93,0.2,225.26,27.89,107,30,0,4.6
219,2025-09-19,BC,Consumer,Home,Pickup,3,74.52,0.1,201.2,26.2,161,22,0,4.4
220,2025-01-06,Atlantic,Small Business,Office Supplies,Pickup,3,19.93,0,59.79,15.27,3,21,1,8.5
221,2025-10-11,Quebec,Corporate,Health & Beauty,Express,5,20.81,0,104.05,31.55,31,29,0,4.6
222,2025-09-23,BC,Consumer,Office Supplies,Standard,4,35.88,0.1,129.17,18.75,110,23,0,5.6
223,2025-12-17,BC,Small Business,Office Supplies,Same Day,4,42.1,0,168.4,48.04,25,24,0,6.9
224,2025-04-09,BC,Small Business,Apparel,Express,5,46.36,0.05,220.21,40.08,112,23,0,3.0
225,2025-05-08,Atlantic,Consumer,Home,Pickup,7,49.74,0,348.18,111.52,116,39,0,5.7
226,2025-11-05,Prairies,Consumer,Grocery,Standard,4,29.65,0.15,100.81,2.46,102,51,0,4.5
227,2025-05-05,Ontario,Consumer,Electronics,Pickup,3,211.45,0,634.35,69.67,85,54,0,6.7
228,2025-06-21,Atlantic,Consumer,Apparel,Express,1,61.33,0.1,55.2,12.74,72,42,0,6.8
229,2025-08-12,Quebec,Corporate,Electronics,Express,7,198.02,0,1386.14,187.37,69,54,0,4.7
230,2025-10-12,Prairies,Consumer,Apparel,Same Day,5,57.37,0.15,243.82,34.95,148,33,0,7.1
231,2025-09-01,Ontario,Consumer,Health & Beauty,Express,5,16.58,0.15,70.46,19.3,112,43,0,5.5
232,2025-07-26,BC,Consumer,Health & Beauty,Standard,6,39.59,0.15,201.91,34.35,69,44,0,5.3
233,2025-12-03,BC,Consumer,Seasonal,Express,3,72.76,0,218.28,42.87,59,40,0,2.2
234,2025-12-06,Atlantic,Corporate,Electronics,Express,7,121.29,0.2,679.22,-16.5,79,25,0,6.2
235,2025-05-28,Prairies,Small Business,Home,Same Day,1,107.18,0.05,101.82,21.68,220,28,0,1.4
236,2025-04-01,Quebec,Corporate,Electronics,Pickup,4,88.06,0.05,334.63,54.08,118,35,0,6.0
237,2025-06-30,Atlantic,Consumer,Seasonal,Express,3,69.79,0.1,188.43,25.19,10,45,1,4.9
238,2025-08-09,Quebec,Consumer,Home,Pickup,3,74.72,0,224.16,39.12,144,34,0,2.0
239,2025-09-24,Prairies,Corporate,Grocery,Standard,3,15.46,0,46.38,10.75,167,38,0,7.7
240,2025-10-27,Atlantic,Consumer,Health & Beauty,Pickup,3,25.55,0,76.65,27.75,191,25,0,9.8
241,2025-12-22,Prairies,Corporate,Seasonal,Same Day,2,45.99,0.1,82.78,18.35,108,48,0,8.1
242,2025-12-21,Prairies,Corporate,Health & Beauty,Pickup,6,33.08,0.05,188.56,49.78,199,28,0,2.1
243,2025-04-07,BC,Small Business,Electronics,Express,4,213.51,0.2,683.23,-35.9,63,23,0,3.6
244,2025-07-03,Prairies,Consumer,Grocery,Express,4,28.33,0,113.32,18.36,123,35,0,3.4
245,2025-01-04,Prairies,Consumer,Health & Beauty,Same Day,5,24.42,0,122.1,46.64,150,35,0,7.8
246,2025-11-19,Atlantic,Corporate,Office Supplies,Express,1,48.3,0.15,41.05,5.05,118,45,0,3.2
247,2025-02-28,Quebec,Consumer,Seasonal,Standard,3,65.06,0,195.18,48.21,28,39,1,7.0
